Model,RMSE,MAE,R2
Linear Regression,61.47551049566425,38.27919154307041,0.5797088103788561
Decision Tree,88.83009505970102,41.42813191342338,0.12246135248423617
Tuned Decision Tree,61.1912591141774,37.22342672379466,0.5835865220251399
